Unnamed: 0,question,answer
0,hi how are you doing,im fine how about yourself
1,im fine how about yourself,im pretty good thanks for asking
2,im pretty good thanks for asking,no problem so how have you been
3,no problem so how have you been,ive been great what about you
4,ive been great what about you,ive been good im in school right now
5,ive been good im in school right now,what school do you go to
6,what school do you go to,i go to pcc
7,i go to pcc,do you like it there
8,do you like it there,its okay its a really big campus
9,its okay its a really big campus,good luck with school
10,good luck with school,thank you very much
11,hows it going,im doing well how about you
12,im doing well how about you,never better thanks
13,never better thanks,so how have you been lately
14,so how have you been lately,ive actually been pretty good you
15,ive actually been pretty good you,im actually in school right now
16,im actually in school right now,which school do you attend
17,which school do you attend,im attending pcc right now
18,im attending pcc right now,are you enjoying it there
19,are you enjoying it there,its not bad there are a lot of people there
20,its not bad there are a lot of people there,good luck with that
21,good luck with that,thanks
22,how are you doing today,im doing great what about you
23,im doing great what about you,im absolutely lovely thank you
24,im absolutely lovely thank you,everythings been good with you
25,everythings been good with you,i havent been better how about yourself
26,i havent been better how about yourself,i started school recently
27,i started school recently,where are you going to school
28,where are you going to school,im going to pcc
29,im going to pcc,how do you like it so far
30,how do you like it so far,i like it so far my classes are pretty good right now
31,i like it so far my classes are pretty good right now,i wish you luck
32,its an ugly day today,i know i think it may rain
33,i know i think it may rain,its the middle of summer it shouldnt rain today
34,its the middle of summer it shouldnt rain today,that would be weird
35,that would be weird,yeah especially since its ninety degrees outside
36,yeah especially since its ninety degrees outside,i know it would be horrible if it rained and it was hot outside
37,i know it would be horrible if it rained and it was hot outside,yes it would be
38,yes it would be,i really wish it wasnt so hot every day
39,i really wish it wasnt so hot every day,me too i cant wait until winter
40,me too i cant wait until winter,i like winter too but sometimes it gets too cold
41,i like winter too but sometimes it gets too cold,id rather be cold than hot
42,id rather be cold than hot,me too
43,it doesnt look very nice outside today,youre right i think its going to rain later
44,youre right i think its going to rain later,in the middle of the summer it shouldnt be raining
45,in the middle of the summer it shouldnt be raining,that wouldnt seem right
46,that wouldnt seem right,considering that its over ninety degrees outside that would be weird
47,considering that its over ninety degrees outside that would be weird,exactly it wouldnt be nice if it started raining its too hot
48,exactly it wouldnt be nice if it started raining its too hot,i know youre absolutely right
49,i know youre absolutely right,i wish it would cool off one day
50,i wish it would cool off one day,thats how i feel i want winter to come soon
51,thats how i feel i want winter to come soon,i enjoy the winter but it gets really cold sometimes
52,i enjoy the winter but it gets really cold sometimes,i know what you mean but id rather be cold than hot
53,i know what you mean but id rather be cold than hot,thats exactly how i feel
54,i wish it was a nicer day today,that is true i hope it doesnt rain
55,that is true i hope it doesnt rain,it wouldnt rain in the middle of the summer
56,it wouldnt rain in the middle of the summer,it wouldnt seem right if it started raining right now
57,it wouldnt seem right if it started raining right now,it would be weird if it started raining in ninety degree weather
58,it would be weird if it started raining in ninety degree weather,any rain right now would be pointless
59,any rain right now would be pointless,thats right it really would be
60,thats right it really would be,i want it to cool down some
61,i want it to cool down some,i know what you mean i cant wait until its winter
62,i know what you mean i cant wait until its winter,winter is great i wish it didnt get so cold sometimes though
63,winter is great i wish it didnt get so cold sometimes though,i would rather deal with the winter than the summer
64,its such a nice day,yes it is
65,yes it is,it looks like it may rain soon
66,it looks like it may rain soon,yes and i hope that it does
67,yes and i hope that it does,why is that
68,why is that,i really love how rain clears the air
69,i really love how rain clears the air,me too it always smells so fresh after it rains
70,me too it always smells so fresh after it rains,yes but i love the night air after it rains
71,yes but i love the night air after it rains,really why is it
72,really why is it,because you can see the stars perfectly
73,because you can see the stars perfectly,i really hope it rains today
74,i really hope it rains today,yeah me too
75,isnt it a nice day,it really is
76,it really is,it seems that it may rain today
77,it seems that it may rain today,hopefully it will
78,hopefully it will,how come
79,how come,i like how clear the sky gets after it rains
80,i like how clear the sky gets after it rains,i feel the same way it smells so good after it rains
81,i feel the same way it smells so good after it rains,i especially love the night air when it rains
82,i especially love the night air when it rains,really why
83,really why,the stars look so much closer after it rains
84,the stars look so much closer after it rains,i really want it to rain today
85,i really want it to rain today,yeah so do i
86,dont you think its nice out,yes i think so too
87,yes i think so too,i think that its going to rain
88,i think that its going to rain,i hope that it does rain
